Nome;Time;Posicao;Overall;Jogos;Minutos;Gols;Assistencias;Finalizacoes;Chutes_Alvo;Cartoes_Amarelos;Cartoes_Vermelhos;Media_Gols;Media_Assists
Jonathan Michael Burkardt;1. FSV Mainz 05;Striker;80;34;3060;42;0;349;136;6;0;1.235;0.0
Benedict Hollerbach;1. FC Union Berlin;Striker;76;34;3060;40;0;328;124;3;0;1.176;0.0
Tim Kleindienst;Borussia Mönchengladbach;Right Winger;81;34;3060;40;0;354;153;7;0;1.176;0.0
Michael Gregoritsch;SC Freiburg;Right Winger;77;34;3060;36;0;333;119;9;0;1.059;0.0
Florian Richard Wirtz;Bayer 04 Leverkusen;Attacking Midfielder;89;34;3060;25;10;195;84;4;0;0.735;0.294
Michy Batshuayi-Atunga;Eintracht Frankfurt;Left Winger;77;34;3060;25;0;152;53;8;0;0.735;0.0
Michael Akpovie Olise;FC Bayern München;Attacking Midfielder;85;34;3060;24;5;209;92;6;0;0.706;0.147
Ikoma Loïs Openda;RB Leipzig;Left Winger;84;34;3060;24;0;183;78;6;0;0.706;0.0
Benjamin Šeško;RB Leipzig;Right Winger;80;34;3060;24;0;188;82;8;0;0.706;0.0
Serhou Yadaly Guirassy;Borussia Dortmund;Striker;86;34;3060;23;0;174;80;3;0;0.676;0.0
Harry Edward Kane;FC Bayern München;Striker;90;34;3060;23;0;186;69;3;1;0.676;0.0
Phillip Tietz;FC Augsburg;Striker;74;34;3060;21;0;161;75;5;0;0.618;0.0
Myron Boadu;VfL Bochum 1848;Right Winger;73;34;3060;20;0;150;67;5;1;0.588;0.0
Budu Zivzivadze;1. FC Heidenheim 1846;Left Winger;72;34;3060;19;0;145;49;7;0;0.559;0.0
Mërgim Berisha;FC Augsburg;Right Winger;76;34;3060;19;0;148;62;5;1;0.559;0.0
André Silva;SV Werder Bremen;Right Winger;77;34;3060;19;0;174;70;13;1;0.559;0.0
Marvin Ducksch;SV Werder Bremen;Right Winger;77;34;3060;19;0;181;78;5;0;0.559;0.0
Philipp Hofmann;VfL Bochum 1848;Striker;73;34;3060;19;0;172;68;2;0;0.559;0.0
Patrik Schick;Bayer 04 Leverkusen;Left Winger;84;34;3060;18;0;186;82;7;0;0.529;0.0
Maximilian Beier;Borussia Dortmund;Left Winger;79;34;3060;18;0;171;67;6;0;0.529;0.0
