Time;J;V;E;D;GP;GC;SG;P
Bayer 04 Leverkusen;34;16;10;8;43;27;16;58
FC St. Pauli;34;17;5;12;43;37;6;56
FC Bayern München;34;14;13;7;47;32;15;55
Borussia Mönchengladbach;34;16;7;11;40;32;8;55
1. FSV Mainz 05;34;16;7;11;42;39;3;55
Borussia Dortmund;34;15;9;10;41;34;7;54
RB Leipzig;34;15;5;14;48;44;4;50
VfL Bochum 1848;34;14;6;14;39;41;-2;48
VfB Stuttgart;34;13;8;13;42;41;1;47
SV Werder Bremen;34;12;9;13;38;35;3;45
VfL Wolfsburg;34;11;10;13;49;50;-1;43
FC Augsburg;34;10;13;11;40;44;-4;43
1. FC Heidenheim 1846;34;12;7;15;35;49;-14;43
Eintracht Frankfurt;34;10;11;13;40;47;-7;41
1. FC Union Berlin;34;11;7;16;40;39;1;40
Holstein Kiel;34;10;8;16;29;45;-16;38
SC Freiburg;34;8;12;14;36;48;-12;36
TSG 1899 Hoffenheim;34;8;9;17;35;43;-8;33
