Time;J;V;E;D;GP;GC;SG;P
RC Celta;38;22;7;9;54;37;17;73
CA Osasuna;38;18;10;10;59;47;12;64
Athletic Club;38;18;9;11;45;32;13;63
RCD Mallorca;38;17;9;12;50;35;15;60
Getafe CF;38;16;11;11;43;38;5;59
Real Sociedad;38;16;10;12;44;39;5;58
FC Barcelona;38;16;9;13;50;40;10;57
RCD Espanyol;38;16;9;13;43;41;2;57
Atlético Madrid;38;13;17;8;56;43;13;56
Valencia CF;38;15;9;14;39;46;-7;54
Villarreal CF;38;15;7;16;44;41;3;52
Deportivo Alavés;38;13;12;13;47;49;-2;51
Real Madrid;38;15;5;18;51;47;4;50
Rayo Vallecano;38;12;11;15;35;38;-3;47
Real Valladolid CF;38;12;10;16;43;50;-7;46
UD Las Palmas;38;13;7;18;38;45;-7;46
Real Betis Balompié;38;12;8;18;34;46;-12;44
Girona FC;38;9;13;16;27;44;-17;40
Sevilla FC;38;8;14;16;25;42;-17;38
CD Leganés;38;4;13;21;21;48;-27;25
