Nome;Time;Posicao;Overall;Jogos;Minutos;Gols;Assistencias;Finalizacoes;Chutes_Alvo;Cartoes_Amarelos;Cartoes_Vermelhos;Media_Gols;Media_Assists
Ante Budimir;CA Osasuna;Striker;81;38;3420;59;0;395;169;7;1;1.553;0.0
Robert Lewandowski;FC Barcelona;Right Winger;89;38;3420;50;0;439;181;6;0;1.316;0.0
Guruzeta;Athletic Club;Left Winger;79;38;3420;45;0;391;173;6;0;1.184;0.0
Oyarzabal;Real Sociedad;Striker;82;38;3420;44;0;418;156;7;0;1.158;0.0
Gerard Moreno;Villarreal CF;Striker;83;38;3420;44;0;407;156;7;0;1.158;0.0
Borja Mayoral;Getafe CF;Striker;78;38;3420;43;0;364;146;6;1;1.132;0.0
Puado;RCD Espanyol;Striker;77;38;3420;43;0;378;155;11;0;1.132;0.0
Mamadou Sylla Diallo;Real Valladolid CF;Striker;72;38;3420;43;0;353;149;7;0;1.132;0.0
Cyle Christopher Larin;RCD Mallorca;Right Winger;76;38;3420;28;0;196;87;5;0;0.737;0.0
Toni Martínez;Deportivo Alavés;Right Winger;75;38;3420;24;0;200;71;5;1;0.632;0.0
Kike García;Deportivo Alavés;Right Winger;75;38;3420;23;0;185;83;5;1;0.605;0.0
Vedat Muriqi;RCD Mallorca;Left Winger;79;38;3420;22;0;176;75;14;0;0.579;0.0
Umar Sadiq Mesbah;Valencia CF;Right Winger;77;38;3420;21;0;179;75;1;0;0.553;0.0
Williot Theo Swedberg;RC Celta;Striker;74;38;3420;20;0;124;46;10;0;0.526;0.0
Julián Álvarez;Atlético Madrid;Striker;86;38;3420;19;0;159;71;10;0;0.5;0.0
Alexander Sørloth;Atlético Madrid;Striker;82;38;3420;19;0;127;54;2;0;0.5;0.0
Borja Iglesias;RC Celta;Right Winger;77;38;3420;19;0;137;52;9;0;0.5;0.0
Fábio Silva;UD Las Palmas;Left Winger;78;38;3420;19;0;190;80;6;0;0.5;0.0
Adnan Januzaj;UD Las Palmas;Left Winger;75;38;3420;19;0;185;72;7;0;0.5;0.0
Antoine Griezmann;Atlético Madrid;Right Winger;87;38;3420;18;0;136;62;5;0;0.474;0.0
Cucho;Real Betis Balompié;Right Winger;79;38;3420;18;0;187;71;5;0;0.474;0.0
Hugo Duro;Valencia CF;Striker;77;38;3420;18;0;203;78;4;0;0.474;0.0
Luis Ezequiel Ávila;Real Betis Balompié;Right Winger;77;38;3420;16;0;198;77;8;0;0.421;0.0
Iago Aspas;RC Celta;Striker;84;38;3420;15;0;124;44;7;0;0.395;0.0
Luka Modrić;Real Madrid;Attacking Midfielder;85;38;3420;13;14;96;38;7;1;0.342;0.368
Rodrygo;Real Madrid;Striker;86;38;3420;12;0;84;39;6;0;0.316;0.0
Kylian Mbappé Lottin;Real Madrid;Right Winger;90;38;3420;10;0;90;36;7;0;0.263;0.0
Federico Santiago Valverde Dipetta;Real Madrid;Attacking Midfielder;88;38;3420;9;4;80;27;3;1;0.237;0.105
Vini Jr.;Real Madrid;Striker;90;38;3420;7;0;88;33;9;0;0.184;0.0
Isi;Rayo Vallecano;Right Midfielder;81;38;3420;6;6;26;17;6;1;0.158;0.158
Andrei Florin Rațiu;Rayo Vallecano;Right-Back;77;38;3420;6;0;28;11;3;0;0.158;0.0
