Time;J;V;E;D;GP;GC;SG;P
Chelsea;38;18;9;11;51;43;8;63
Arsenal;38;17;10;11;55;42;13;61
Aston Villa;38;18;7;13;61;51;10;61
Newcastle United;38;16;10;12;47;42;5;58
Nottingham Forest;38;15;12;11;53;43;10;57
Liverpool;38;16;9;13;54;46;8;57
Tottenham Hotspur;38;14;12;12;53;51;2;54
Brentford;38;12;17;9;42;35;7;53
West Ham United;38;14;11;13;44;46;-2;53
Everton;38;13;13;12;44;41;3;52
Manchester City;38;13;13;12;41;44;-3;52
AFC Bournemouth;38;13;11;14;38;42;-4;50
Leicester City;38;12;13;13;44;41;3;49
Brighton & Hove Albion;38;13;8;17;52;47;5;47
Crystal Palace;38;13;6;19;48;57;-9;45
Ipswich Town;38;11;12;15;44;61;-17;45
Fulham FC;38;12;8;18;37;48;-11;44
Manchester United;38;11;10;17;25;32;-7;43
Wolverhampton Wanderers;38;9;16;13;42;51;-9;43
Southampton;38;9;15;14;43;55;-12;42
