Nome;Time;Posicao;Overall;Jogos;Minutos;Gols;Assistencias;Finalizacoes;Chutes_Alvo;Cartoes_Amarelos;Cartoes_Vermelhos;Media_Gols;Media_Assists
Oliver George Arthur Watkins;Aston Villa;Striker;84;38;3420;61;0;401;192;6;1;1.605;0.0
Diogo Jota;Liverpool;Striker;84;38;3420;54;0;412;162;4;0;1.421;0.0
Christopher Grant Wood;Nottingham Forest;Right Winger;81;38;3420;53;0;399;176;6;0;1.395;0.0
Heung-Min Son;Tottenham Hotspur;Right Winger;86;38;3420;53;0;394;169;3;0;1.395;0.0
João Pedro;Brighton & Hove Albion;Right Winger;79;38;3420;52;0;376;165;9;1;1.368;0.0
Nicolas Jackson;Chelsea;Striker;81;38;3420;51;0;419;183;4;1;1.342;0.0
Jean-Philippe Mateta;Crystal Palace;Right Winger;80;38;3420;48;0;382;166;2;0;1.263;0.0
Liam Rory Delap;Ipswich Town;Left Winger;77;38;3420;44;0;355;147;9;0;1.158;0.0
Jamie Richard Vardy;Leicester City;Striker;76;38;3420;44;0;360;150;10;0;1.158;0.0
Niclas Füllkrug;West Ham United;Right Winger;79;38;3420;44;0;371;156;4;1;1.158;0.0
Paul Ebere Onuachu;Southampton;Right Winger;74;38;3420;43;0;363;161;5;0;1.132;0.0
Evanilson;AFC Bournemouth;Striker;80;38;3420;38;0;384;152;5;0;1.0;0.0
Raúl Alonso Jiménez Rodríguez;Fulham FC;Striker;77;38;3420;37;0;370;154;2;0;0.974;0.0
Bukayo Saka;Arsenal;Striker;88;38;3420;25;0;149;70;7;1;0.658;0.0
Dominic Nathaniel Calvert-Lewin;Everton;Striker;75;38;3420;24;0;181;78;5;0;0.632;0.0
Hwang Hee Chan;Wolverhampton Wanderers;Left Winger;76;38;3420;22;0;198;88;6;0;0.579;0.0
Beto;Everton;Left Winger;76;38;3420;20;0;196;74;9;0;0.526;0.0
Jørgen Strand Larsen;Wolverhampton Wanderers;Right Winger;78;38;3420;20;0;169;62;8;0;0.526;0.0
Declan Rice;Arsenal;Attacking Midfielder;87;38;3420;17;14;142;58;4;1;0.447;0.368
Harvey Lewis Barnes;Newcastle United;Right Winger;80;38;3420;15;0;106;41;3;0;0.395;0.0
Sandro Tonali;Newcastle United;Attacking Midfielder;85;38;3420;14;13;104;38;4;0;0.368;0.342
Leandro Trossard;Arsenal;Striker;83;38;3420;13;0;145;52;5;0;0.342;0.0
Bryan Tetsadong Marceau Mbeumo;Brentford;Striker;82;38;3420;13;0;102;43;11;1;0.342;0.0
Rodri;Manchester City;Attacking Midfielder;91;38;3420;11;8;103;44;11;1;0.289;0.211
Erling Braut Håland;Manchester City;Right Winger;90;38;3420;11;0;102;37;6;0;0.289;0.0
Alexander Isak;Newcastle United;Left Winger;86;38;3420;11;0;101;38;5;0;0.289;0.0
Yoane Wissa;Brentford;Left Winger;80;38;3420;10;0;75;33;4;0;0.263;0.0
Kevin Schade;Brentford;Right Winger;76;38;3420;10;0;105;45;7;0;0.263;0.0
Philip Walter Foden;Manchester City;Striker;86;38;3420;10;0;123;37;7;0;0.263;0.0
Igor Thiago;Brentford;Striker;76;38;3420;9;0;82;26;6;0;0.237;0.0
Omar Khaled Mohamed Marmoush;Manchester City;Left Winger;84;38;3420;9;0;92;38;7;0;0.237;0.0
Manuel Ugarte Ribeiro;Manchester United;Central Midfielder;80;38;3420;7;5;20;9;6;1;0.184;0.132
Anthony Michael Gordon;Newcastle United;Left Winger;83;38;3420;7;0;83;31;4;0;0.184;0.0
Luke Paul Hoare Shaw;Manchester United;Right-Back;80;38;3420;4;0;34;15;5;0;0.105;0.0
André Onana;Manchester United;Goalkeeper;82;38;3420;3;0;25;10;8;1;0.079;0.0
Amad;Manchester United;Left Midfielder;79;38;3420;2;8;17;7;7;1;0.053;0.211
Lisandro Martínez;Manchester United;Left-Back;83;38;3420;2;0;24;6;6;0;0.053;0.0
Noussair Mazraoui;Manchester United;Left-Back;81;38;3420;2;0;23;8;8;0;0.053;0.0
Jacob Harry Maguire;Manchester United;Left-Back;80;38;3420;2;0;18;5;4;0;0.053;0.0
Casemiro;Manchester United;Central Midfielder;81;38;3420;1;2;30;9;6;0;0.026;0.053
Matthijs de Ligt;Manchester United;Centre-Back;83;38;3420;1;0;27;10;9;0;0.026;0.0
Diogo Dalot;Manchester United;Left-Back;80;38;3420;1;0;17;6;7;0;0.026;0.0
Martin Ødegaard;Arsenal;Central Midfielder;87;38;3420;0;20;0;0;6;1;0.0;0.526
Dominik Szoboszlai;Liverpool;Central Midfielder;82;38;3420;0;17;0;0;7;2;0.0;0.447
Anthony David Junior Elanga;Nottingham Forest;Left Midfielder;80;38;3420;0;16;0;0;5;2;0.0;0.421
Elliot Junior Anderson;Nottingham Forest;Left Midfielder;79;38;3420;0;15;0;0;5;0;0.0;0.395
